Averaged Grid, with depth 12:
Data Frame:
Data Frame:
394, 600, 834, 405,
638, 868, 1252, 1391,
867, 1044, 1312, 1733,
173, 1167, 1222, 1628,
483, 1052, 1232, 439,
514, 1263, 1659, 1544,
729, 1321, 1600, 1738,
693, 1615, 1658, 1804,
Averaged Grid, with depth 12:
Data Frame:
390, 600, 835, 404,
639, 866, 1256, 1395,
860, 1041, 1314, 1731,
172, 1172, 1228, 1626,
483, 1052, 1232, 439,
512, 1263, 1662, 1542,
727, 1320, 1601, 1736,
701, 1617, 1658, 1807,
Averaged Grid, with depth 12:
Data Frame:
492, 602, 836, 403,
635, 865, 1257, 1394,
848, 1039, 1317, 1726,
170, 1174, 1228, 1629,
590, 1053, 1232, 438,
621, 1262, 1660, 1543,
728, 1319, 1602, 1736,
698, 1616, 1654, 1814,
Averaged Grid, with depth 12:
Data Frame:
598, 717, 838, 403,
741, 866, 1257, 1393,
843, 1041, 1320, 1725,
169, 1171, 1223, 1632,
700, 1054, 1234, 438,
734, 1374, 1662, 1544,
836, 1321, 1605, 1733,
690, 1617, 1647, 1805,
Averaged Grid, with depth 12:
Data Frame:
710, 837, 954, 404,
861, 991, 1257, 1392,
961, 1162, 1324, 1725,
168, 1171, 1218, 1631,
715, 1052, 1233, 437,
858, 1490, 1657, 1543,
955, 1325, 1601, 1734,
778, 1614, 1646, 1809,
Averaged Grid, with depth 12:
Data Frame:
726, 854, 1077, 428,
983, 1118, 1387, 1512,
1087, 1296, 1460, 1727,
177, 1307, 1349, 1759,
729, 1071, 1349, 438,
876, 1493, 1657, 1655,
1080, 1454, 1728, 1736,
866, 1618, 1774, 1817,
Averaged Grid, with depth 12:
Data Frame:
738, 864, 1203, 428,
1106, 1135, 1519, 1634,
1213, 1430, 1598, 1723,
186, 1439, 1485, 1755,
739, 1083, 1254, 438,
999, 1499, 1657, 1657,
1095, 1580, 1729, 1742,
947, 1748, 1764, 1816,
Averaged Grid, with depth 12:
Data Frame:
743, 868, 1207, 440,
1114, 1142, 1651, 1637,
1221, 1439, 1731, 1724,
197, 1451, 1612, 1753,
743, 1086, 1365, 436,
1005, 1500, 1655, 1656,
1102, 1459, 1732, 1740,
953, 1746, 1764, 1801,
Averaged Grid, with depth 12:
Data Frame:
742, 868, 1207, 423,
1113, 1142, 1521, 1506,
1220, 1438, 1595, 1731,
196, 1449, 1605, 1624,
742, 1085, 1243, 419,
1005, 1377, 1658, 1656,
1101, 1451, 1733, 1742,
953, 1749, 1627, 1668,
Averaged Grid, with depth 12:
Data Frame:
736, 862, 1197, 391,
1104, 1135, 1391, 1380,
1210, 1303, 1459, 1592,
185, 1316, 1465, 1491,
737, 965, 1225, 402,
999, 1251, 1524, 1657,
1092, 1316, 1597, 1745,
869, 1611, 1631, 1523,
Averaged Grid, with depth 12:
Data Frame:
724, 850, 1074, 360,
1085, 1008, 1262, 1250,
1087, 1168, 1323, 1454,
177, 1182, 1331, 1352,
727, 846, 1101, 380,
985, 1122, 1393, 1662,
974, 1181, 1462, 1615,
787, 1471, 1493, 1388,
Averaged Grid, with depth 12:
Data Frame:
697, 730, 952, 342,
963, 883, 1135, 1256,
969, 1040, 1326, 1455,
173, 1047, 1332, 1352,
609, 728, 1099, 373,
864, 999, 1271, 1659,
856, 1179, 1335, 1615,
707, 1472, 1498, 1381,
Averaged Grid, with depth 12:
Data Frame:
589, 615, 952, 338,
851, 765, 1019, 1259,
858, 918, 1327, 1454,
176, 1044, 1332, 1351,
493, 727, 1099, 372,
747, 882, 1269, 1660,
863, 1178, 1335, 1615,
723, 1476, 1495, 1389,
Averaged Grid, with depth 12:
Data Frame:
489, 507, 953, 339,
871, 766, 1015, 1259,
750, 921, 1324, 1455,
179, 1046, 1326, 1351,
385, 620, 1098, 372,
639, 884, 1266, 1661,
848, 1178, 1331, 1615,
722, 1476, 1496, 1390,
Averaged Grid, with depth 12:
Data Frame:
398, 502, 953, 338,
871, 768, 1016, 1261,
761, 920, 1322, 1458,
182, 1048, 1336, 1350,
285, 618, 1100, 374,
637, 884, 1270, 1660,
831, 1178, 1332, 1612,
723, 1483, 1496, 1384,
Averaged Grid, with depth 12:
Data Frame:
398, 500, 953, 339,
864, 766, 1015, 1261,
773, 921, 1319, 1459,
184, 1052, 1334, 1354,
285, 617, 1099, 374,
638, 882, 1270, 1663,
827, 1178, 1329, 1612,
731, 1485, 1499, 1385,
Averaged Grid, with depth 12:
Data Frame:
400, 499, 953, 340,
864, 766, 1015, 1259,
776, 923, 1316, 1460,
187, 1051, 1333, 1367,
387, 618, 1097, 374,
635, 881, 1272, 1666,
827, 1177, 1331, 1609,
720, 1482, 1493, 1384,
Averaged Grid, with depth 12:
Data Frame:
503, 604, 954, 341,
867, 768, 1015, 1261,
780, 923, 1315, 1460,
190, 1052, 1329, 1370,
491, 719, 1096, 374,
742, 880, 1274, 1668,
826, 1177, 1327, 1608,
713, 1482, 1497, 1381,
Averaged Grid, with depth 12:
Data Frame:
606, 715, 951, 340,
864, 877, 1013, 1261,
774, 924, 1313, 1465,
193, 1055, 1328, 1381,
602, 830, 1192, 376,
747, 879, 1272, 1666,
931, 1177, 1328, 1605,
709, 1481, 1506, 1378,
Averaged Grid, with depth 12:
Data Frame:
631, 832, 1068, 344,
985, 998, 1013, 1259,
885, 1049, 1315, 1463,
193, 1180, 1327, 1375,
719, 949, 1189, 378,
864, 999, 1274, 1663,
1047, 1297, 1327, 1606,
799, 1477, 1502, 1383,
Averaged Grid, with depth 12:
Data Frame:
746, 953, 1193, 374,
1104, 1128, 1141, 1390,
1005, 1183, 1447, 1458,
204, 1313, 1463, 1502,
837, 1069, 1313, 395,
989, 1128, 1270, 1665,
1164, 1429, 1330, 1603,
885, 1474, 1635, 1520,
