Sensor 1: 
8x8 GRID
 333  342  343  363  367  376  347  309
 336  397  368  402  375  398 1978  296
 314  425  408  429 2027 1998 1994 2046
 353 1869  370  470  482  372 2056 2008
1865 1973 1883  429 2034 1947 1888 1950
1825 1866 1816 1924 1927 1942 1909 1944
1916 1778 1897 1800 1827 1895 1951 1901
1717 1743 1747 1834 1789 1844 1882 1812
Sensor 1: 
8x8 GRID
2998  367  356  336  379  387  341 1729
 802  394  407  372  421  375 2026 1953
2025  410 1864  441  483  450 2034 1948
 450 1882 1868 1983  483 1978 1879 1911
 346 1859 1900 1975 1919 1869 1972 1914
   0 1809 1859 1854 1857 1946 1826 1829
1451 1891 1834 1835 1860 1859 1850 1814
